country,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,total
Afghanistan,14768553,14859363,14058181,15290994,15641828,14899150,16327659,16687255,17172652,15271815,14582638,16624249,17892774,18336999,18889938,19822394,17168264,18415767,17850693,17374911,16762484,16150224,15655141,15008158,14288923,13548691,14290120,13075464,12414409,12347924,12386416,11458648,13285942,13855135,14277510,14264855,15607215,16267723,14487949,10319977,11015509,16326755,18455450,15729364,22276690,20298691,23964457,18297961,26914399,24704598,19863007,25579665,26089057,27825648,909030236
Albania,1959270,1981007,2029093,2353115,2193448,2703814,2909579,3025766,3078282,3309470,3286720,3466414,3646897,3811155,3906137,4642444,4907927,5086862,5379070,4992590,5218788,5535336,6087703,5731490,5450515,5733076,5588964,5013175,5748264,4954639,3116413,3522250,4434540,4577922,4579486,4404544,4493832,4685341,4251994,4584387,4543176,4600633,4561982,4678287,4784377,4878589,4797833,5463719,5707938,6466791,6803943,6933176,6937568,7049451,244589182
Algeria,10453684,15206426,14976300,11579766,13072997,7779327,10629778,13799505,12690631,13617703,12848370,13864116,11483212,11737962,16483378,14235378,9883046,10989863,12078371,15210165,13243358,11145700,10917284,12383364,19433963,18297015,17224767,13158310,17507748,14768694,24646305,23827949,17506860,14523414,20107260,29797060,15220781,23274308,21444500,16851465,23107088,22121186,33118877,34902870,34532682,36092288,32378745,27530770,45272624,43753504,46290733,53228688,57139442,53460678,1150830258
American Samoa,18807,20105,21641,20233,19062,19677,20969,21153,22629,21231,19942,19692,19559,18464,18172,17366,16977,16007,13284,15065,15100,15204,14911,14201,13723,14119,13026,13051,13000,14916,13682,14427,16050,17174,18084,19421,20426,27420,20628,23564,27155,28697,32511,31513,32764,33547,34117,34812,35740,36207,35756,34452,37270,36851,1183554
Angola,7366182,7597671,7546878,7912550,8095733,8102038,8290408,8376400,9137668,9069810,9016371,8803528,9184606,8516786,7970292,7945070,7350670,7479585,6709597,6821277,6316660,6276220,6423916,6514626,6643119,6997305,7205354,7156102,7023789,6893047,7634706,8212892,7802619,8961473,9355458,10094136,9459705,12010468,11344449,14135454,17141742,20412730,22012399,25784157,27545883,27676109,31493061,32878901,42472668,45362725,48937659,36479045,55347364,41134118,802433179
Antigua and Barbuda,196360,210279,272264,272439,148357,94143,64589,27127,55928,57963,152243,19089,17533,16285,17559,18046,17523,19012,21518,24675,27548,28916,22932,20916,24331,24890,26149,27900,23452,25107,27039,27661,27143,26964,26084,26895,27402,27236,27914,27969,27884,29178,29859,30997,24915,26518,28125,29083,29527,29959,30330,29832,30418,30874,2654879
Argentina,85720841,83513492,96176060,107574847,89084860,100011596,108019057,95130817,105118733,114164905,122426509,106418427,132979167,137775933,129712066,135844085,134148199,151702274,145854541,122966008,164717168,178887026,170937681,175558059,166334137,160882880,147221428,153988921,124919074,140061360,158409066,168611930,162245461,163858536,180526856,171752451,218297795,250152546,219728358,239690708,244166868,243753588,247807125,246177539,292986515,265790930,314899120,324950762,222592527,313976407,348264963,315045121,356022445,364786179,9922343947
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3877154,3562412,3685260,3816280,4057555,3288394,3766670,3826707,3069719,3918244,4159516,4468197,5386018,5788953,5531623,6864105,6640179,6541051,5336464,6553013,7239788,7670503,8250598,117298403
Australia,45709755,55770102,57413849,64414313,53219533,78149546,56839330,87427033,70595672,70066469,79154175,65143195,84254326,82928296,90136946,89907581,80428847,114032290,107854854,88878228,113776259,83086906,137579403,133630503,122053272,119845344,107499522,116743866,117863053,117152982,103500870,125240728,137536586,101221690,147393863,177514758,167327790,176635152,183866999,179247436,186517171,119903043,202368845,177311034,199558007,125340399,142837151,176529148,171686464,169081882,185569789,202023598,179000264,188410597,6617178714
Austria,20371832,19686561,21323984,21980651,17103237,21814981,22643897,23992310,24241667,22677670,23519808,22482852,24333025,24874997,24120739,25463250,24755973,25928831,24208988,27551052,25755489,29783333,26501888,28413931,28131779,26046596,25596881,27980337,26601079,27507934,26529196,23504775,24193644,24126467,24864266,25828517,28221749,27673549,28049078,25930645,27527244,26521133,24962967,29846862,28323856,24934389,26365256,30832235,28492360,28967866,32954071,28539369,27294444,33154542,1393034032
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9185078,7727954,7025260,6499187,7261627,6892617,6590205,8201524,10292758,12574751,13658287,13920117,14330244,15471401,15586014,15836044,17246160,18287251,15449064,17378432,18490494,19019394,16868067,293791930
Bahamas,69870,72560,75920,78160,80420,92965,104890,101555,97650,118015,95510,133185,132240,136945,146690,171025,161100,149974,151790,149493,171790,168440,147800,165750,150900,142050,145200,155560,170160,173928,155124,142418,156840,165371,164070,171690,167276,180512,193774,198489,214200,196480,201484,215028,212783,229546,245053,245044,229753,273027,277611,276746,277856,286269,8987979
Bahrain,45400,45141,46154,46154,46324,43394,43937,44407,45027,45997,46807,48407,48416,54977,80977,105749,132501,132242,130423,133840,61178,51640,53523,54926,59851,66410,72198,72531,71556,51539,54287,61971,64430,72810,81653,82738,81370,88236,78361,78113,74422,64454,68334,63768,60544,95240,91174,89301,90618,89914,86500,87656,87521,87720,3862761
Bangladesh,54876301,52116962,59396009,59497373,61938218,60245372,68657236,68995670,72433425,68772709,62604496,61324346,67592781,64857054,72165946,68156858,73459420,75506737,74658909,79529107,79004642,82023925,84530508,85143014,88641577,88951292,87899312,87998515,96126492,96701837,99298250,99945051,98785785,94106333,97680639,103114329,104314304,108692755,123614540,132378615,128981730,131810930,134819142,130879400,145955765,150167855,159379373,173867519,172910900,184777801,190273861,191186572,196598434,203819434,5561165360
Barbados,1461569,1527248,1771723,1558601,1814274,1636972,1912506,1455118,1342821,1526181,1307661,1135308,1099885,1006784,904177,971665,1107880,963976,1117559,1278716,1031946,874223,780530,869544,842719,958287,745828,749281,612853,659690,640056,580690,495536,512213,438507,610832,632617,512527,580456,602477,475843,470182,429473,414261,495227,403514,407244,356905,406759,307363,333130,307932,224829,213715,45877813
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51370552,59251046,45591146,45606053,49544674,43621124,39016056,34197036,41944798,41728608,44207772,46440764,56410696,50653704,51210007,56231591,64376705,59378217,54739480,56476214,59933311,51055451,59739834,1162724839
