product,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,total
Agave fibres nes,34600,32950,35000,35124,35721,36562,38548,39648,39436,40703,41831,45181,49018,53000,69731,62790,65344,62365,62951,69684,63213,65416,65092,56571,55123,56844,58814,58253,65407,63199,78453,58958,64753,64673,56868,66233,68375,54900,51533,50110,48623,49840,50013,53260,51946,48915,48230,46886,45877,44741,43805,40965,41465,41336,2828877
"Almonds, with shell",758288,438338,579818,634099,607677,609015,722678,713240,569855,681349,585312,704104,626631,860254,757661,935857,818882,910525,839748,926155,1239227,1052148,854642,1175867,1156592,989832,1266975,1157283,1290584,1333390,1272763,1291327,1251298,1359475,1020784,1272909,1566175,1296595,1651089,1478935,1560702,1869759,1713254,1615761,1863725,2024574,2253306,2480077,2453102,2596330,3011820,2838818,2874257,2697208,71110069
"Anise, badian, fennel, coriander",80555,89162,92401,87520,95360,92185,95090,112624,96779,90186,102983,108017,97920,106831,108687,134636,174047,165484,151868,172785,131610,157865,206165,164176,141664,170785,180891,276234,220249,232388,232136,317193,372635,317407,306192,338459,345763,388718,391067,391083,478229,495045,563790,514027,546451,583853,690042,696446,705436,772872,914917,928922,943697,969378,17340905
Apples,18797651,23559110,23391272,24870724,24039988,24509455,29000910,27903398,30251974,32051728,31660791,29471595,34725481,32198411,36938523,38333940,38077589,38439840,43988334,39032609,39001138,47896873,47880515,47014942,46143542,50535784,43904837,48601532,48737226,47081874,41093853,44831521,48168250,47008821,49310896,54788406,56526963,55331949,56676232,59086390,57612772,55786504,58245721,62594627,62382260,64222833,65200754,69026461,70977657,70503416,76033840,77659275,81854991,84630275,2557596253
Apricots,1429607,1207534,1472117,1460201,1537005,1418849,1827896,1692289,1872039,1887277,1697632,1704770,1999965,2037860,1710472,2016740,1801965,1680796,1637920,2014546,2212428,2049655,2243496,2157381,2233849,2314861,2085049,2434001,2626601,2400972,2279561,2547118,2342317,2557975,2106413,2594351,2421676,2526614,2666443,2922905,2680543,2664741,2890882,2852783,3536820,3296179,3380638,3731049,3662875,3318311,3762268,3841337,4034185,3365689,128849446
Areca nuts,214214,205239,210234,211752,201733,185192,200225,207901,209511,207580,211648,223661,220945,244178,242230,240472,250555,265912,270588,271277,291621,290417,327106,315358,364563,368225,370046,406674,448605,502689,496727,506917,540994,574491,622690,635767,648155,710446,698481,727369,766944,832932,874080,916128,956520,1024990,1056375,1074331,1102023,1081375,1096013,1340820,1086508,1103860,28655287
Artichokes,855442,762372,708759,945747,1063352,1093257,1127804,1053363,1126999,1276057,1368640,1403474,1368111,1397116,1280066,1245582,1155025,1335607,1090391,1254405,1164973,1184349,1119356,1142460,1016894,1189494,1129940,1268709,1348039,1333221,1328643,1250932,1163839,1197941,1156418,1132424,1257109,1251488,1246682,1329904,1259581,1278569,1279701,1368672,1283230,1421142,1488416,1487626,1517424,1459145,1540073,1625595,1612392,1572343,67318293
Asparagus,1695701,1379606,1291043,1207568,1228842,1247071,1222070,1328756,1398664,1113572,1231942,1147798,1233105,1252871,1223169,1258216,1272569,1264951,1306260,1252898,1354656,1389783,1395671,1435224,1486065,1586985,1726572,1752949,1830804,2008262,2135252,2226511,2696467,2919661,3002533,3319468,3499810,3654210,3959596,4633463,4969609,5748224,6269162,6617980,6704143,6929055,7090120,7208396,7360578,7482307,8211450,8305307,7936362,7829532,172232839
Avocados,716353,747298,787311,788522,857193,884536,945037,960427,1005429,1029650,1086786,1124012,1168951,1180212,1243261,1280299,1347809,1409038,1348699,1577865,1544661,1664338,1676042,1661982,1752860,1961073,1825021,1907246,1676413,1857776,2048601,2141380,1975897,2077835,2150497,2248340,2220640,2360065,2513868,2714124,2792168,2954294,3176741,3214429,3426458,3669810,3624808,3461349,3990164,3946215,4230103,4490709,4742413,5028736,114215744
Bambara beans,29600,30100,30600,30600,30600,29600,27727,27515,34720,33994,34361,37354,34745,34911,41235,42078,42724,30250,30554,31741,33011,35640,28453,34656,33786,38186,35396,41338,41461,54353,67102,61562,72922,59795,54934,57910,49746,65441,78428,61620,73923,80729,92453,75618,97633,103047,100624,136041,135958,151785,135057,165858,157353,160378,3337206
Bananas,21509569,21935648,23035027,24665455,26611230,26954543,27643055,28843869,30345473,31562218,32638551,32930910,31187759,31946239,31483736,32584032,34261277,34671179,35583990,37092442,37605937,38225083,36949064,39377222,40163532,42897475,44501124,44914734,44883121,49993227,52129589,55666557,56404343,58136504,58826289,58413261,64614771,64886251,70054516,68390639,69812532,72374981,74701942,79066319,83457670,88907552,94916010,99527826,103977689,109356269,109879343,107794908,110685139,114128343,2943105964
Barley,84682234,106382137,108607158,121835063,111297153,126074806,125866584,140096505,148046371,154496695,163069044,166819909,197566081,198689878,168427720,230535806,204870493,232061309,199316956,196806822,182932582,201687545,206470171,208393845,215718338,226659275,228630684,203941414,209025463,231472972,211277535,165606022,169756663,161304366,140953618,155319118,154608297,137675770,128381196,133119096,143999911,136723185,142564393,153903621,138679501,139521659,134173767,154820539,151773711,123541950,132530751,132291516,143476578,144490000,8830973776
"Bastfibres, other",882778,725627,850875,901125,1077617,1204552,1059003,837835,951493,947543,951586,981217,1125822,1036567,1019907,980306,1059897,1227742,1117795,1072876,1092983,957200,1024837,1055687,1930984,1080779,856103,841455,892847,851125,719324,763840,780001,638768,619550,650472,579340,449559,410960,404539,442385,396564,354819,343792,340692,340498,364261,348475,296558,265847,283890,272274,267496,256474,41186541
"Beans, dry",11283553,11804899,11755493,12215848,12123888,11978162,12569891,11763343,11802358,12703727,12683557,12397681,13132173,12838197,13483679,12414437,13355206,13655877,12806407,13772771,15332695,15409446,14962567,15805984,15648453,15211551,15111832,16645574,15680299,17596601,16942505,16049969,16269456,17430491,17593993,16940381,16363709,16452654,17798021,17685272,18290746,19931456,21136389,18362227,18986770,20922451,21492164,21174497,21394404,24091989,23153439,24270890,24515708,26529581,881725311
"Beans, green",2632012,2576531,2638434,2734299,2716652,2804820,2847014,2853535,2958870,3069315,3126849,3226604,3288529,3435688,3431663,3347391,3622146,3661016,3818595,3854047,4087064,4321373,4383863,4737131,4908984,4885512,5121953,5375367,5778474,5904248,6298614,6786790,6897414,6987049,8601851,8825066,8954692,9155734,9616642,9872250,10967291,11707950,12899560,13797713,15442884,17167059,17978518,18915227,19081607,19761566,20152505,20947891,21341316,21717359,436022527
Berries nes,305551,298611,309454,323859,329464,292699,296332,306132,300406,305946,307025,308385,296189,312628,314557,325916,304584,340243,347513,367123,366336,374533,382769,383337,355170,349864,359609,353714,379575,474333,478330,506019,503766,548756,537693,534295,587562,485175,663029,661452,667069,664629,769891,789187,856224,860066,909146,1022071,1018517,1002942,1089173,1113812,1137679,1139804,28618144
Blueberries,35091,30048,36251,38370,33416,48367,41404,35380,62328,60749,61515,55459,76000,62164,62205,64825,56813,65422,71287,73769,85310,92935,98050,85206,103226,99115,110949,115016,113893,136740,128043,116725,145473,136157,154738,156105,171350,156292,229890,256446,260032,244846,270244,262243,262308,296059,293951,308129,331238,321509,354402,419826,432362,520354,8340025
"Brazil nuts, with shell",1800,1800,1200,1800,1700,1588,1443,1317,1387,1680,1635,1247,1349,1367,1384,1283,1315,1240,1177,1107,1302,1476,1521,1656,1430,1396,1506,1607,1572,1639,1634,1564,1582,1525,1662,1336,1500,2200,4900,4000,4000,4000,4800,4500,6800,6000,6000,6100,6000,5800,5800,5600,5600,5600,142427
"Broad beans, horse beans, dry",4851184,6215352,5323040,5566035,5596460,4647503,4557220,4314344,4274570,4536898,4489669,4492937,4259961,4283681,4273673,4166222,3983525,4328740,4517917,4531090,4112732,4337464,4202499,4375266,4080664,4113187,4286077,4694534,4260237,4389685,3364222,2802357,3538012,3660417,3672442,3732702,3457248,3848583,3615294,3854018,4230022,4455323,4695957,4463541,4539964,4240625,4043458,4401293,4401056,4476611,4734206,4457580,4467440,4139971,233354708
Buckwheat,3224596,3398790,2467149,2815085,3512458,3382392,3777463,4231281,4258816,3958054,4188992,3558577,4611936,4260126,3711786,4245938,3969767,4509921,4473677,4130645,3875060,4511833,4465416,4816523,4309663,3798462,4636265,4020065,4281949,5007671,5200968,4965662,4259679,3775884,3469819,3275069,3697960,3099260,2790296,3781540,2593837,1832821,2572505,2294354,2084870,1940628,2376475,2220145,1796922,1453615,2366684,2262980,2263966,1924082,188710377
