country,product,value
Afghanistan,"Cereals,Total",6747888
Albania,"Cereals,Total",1067000
Algeria,Vegetables Primary,7463840
American Samoa,"Roots and Tubers,Total",11179
Angola,"Roots and Tubers,Total",18281559
Antigua and Barbuda,Sugar cane,259448
Argentina,Soybeans,53397715
Armenia,Vegetables Primary,1200667
Australia,"Cereals,Total",43365873
Austria,Cereals (Rice Milled Eqv),6026536
Azerbaijan,"Cereals,Total",2903361
Bahamas,Sugar cane,75000
Bahrain,"Fruit excl Melons,Total",42000
Bangladesh,"Cereals,Total",55758786
Barbados,Sugar cane,1855300
Belarus,Potatoes,11644000
Belgium,Sugar beet,6537100
Belgium-Luxembourg,Sugar beet,8398000
Belize,Sugar cane,1251780
Benin,"Roots and Tubers,Total",7354452
Bermuda,Vegetables Primary,3933
Bhutan,"Cereals,Total",192631
Bolivia (Plurinational State of),Sugar cane,8363454
Bosnia and Herzegovina,Cereals (Rice Milled Eqv),1438704
Botswana,Cereals (Rice Milled Eqv),123147
Brazil,Sugar cane,768090444
British Virgin Islands,"Fruit excl Melons,Total",645
Brunei Darussalam,Vegetables Primary,15060
Bulgaria,"Cereals,Total",9967359
Burkina Faso,"Cereals,Total",4898544
Burundi,"Roots and Tubers,Total",3337595
Cabo Verde,Vegetables Primary,53822
Cambodia,"Cereals,Total",10317000
Cameroon,"Roots and Tubers,Total",7804765
Canada,Cereals (Rice Milled Eqv),66405701
Cayman Islands,"Fruit excl Melons,Total",696
Central African Republic,"Roots and Tubers,Total",1309427
Chad,"Cereals,Total",3247582
Chile,"Fruit excl Melons,Total",6067601
"China, Hong Kong SAR",Vegetables Primary,195090
"China, Macao SAR",Pepper (piper spp.),214
"China, Taiwan Province of",Sugar cane,11300858
"China, mainland",Vegetables Primary,596109645
Colombia,Sugar cane,40674116
Comoros,Coconuts,98125
Congo,"Roots and Tubers,Total",1421484
Cook Islands,"Fruit excl Melons,Total",22055
Costa Rica,"Fruit excl Melons,Total",5934622
Cote dIvoire,"Roots and Tubers,Total",10220267
Croatia,Cereals (Rice Milled Eqv),3726750
Cuba,Sugar cane,82900000
Cyprus,"Fruit excl Melons,Total",509147
Czechia,Cereals (Rice Milled Eqv),8803778
Czechoslovakia,Cereals (Rice Milled Eqv),12625543
Democratic People's Republic of Korea,"Cereals,Total",9137000
Democratic Republic of the Congo,"Roots and Tubers,Total",20725600
Denmark,Cereals (Rice Milled Eqv),10163800
Djibouti,Vegetables Primary,37148
Dominica,"Fruit excl Melons,Total",120815
Dominican Republic,Sugar cane,11805000
Ecuador,Sugar cane,9528500
Egypt,"Cereals,Total",24123416
El Salvador,Sugar cane,7162995
Equatorial Guinea,"Roots and Tubers,Total",200643
Eritrea,Cereals (Rice Milled Eqv),461996
Estonia,Cereals (Rice Milled Eqv),1221600
Ethiopia,"Cereals,Total",23607662
Ethiopia PDR,Vegetables Primary,118194766
Faroe Islands,Potatoes,1856
Fiji,Sugar cane,4290000
Finland,Cereals (Rice Milled Eqv),4296400
France,"Cereals,Total",73331223
French Guiana,"Roots and Tubers,Total",36744
French Polynesia,Coconuts,194300
Gabon,"Roots and Tubers,Total",548112
Gambia,"Cereals,Total",363549
Georgia,"Fruit excl Melons,Total",923500
Germany,Cereals (Rice Milled Eqv),52010400
Ghana,"Roots and Tubers,Total",25079077
Greece,"Cereals,Total",6182700
Grenada,"Fruit excl Melons,Total",41980
Guadeloupe,Sugar cane,1914000
Guam,Coconuts,53280
Guatemala,Sugar cane,27355196
Guinea,"Cereals,Total",3431379
Guinea-Bissau,"Cereals,Total",264534
Guyana,Sugar cane,4310606
Haiti,Sugar cane,3000000
Honduras,Sugar cane,6895340
Hungary,"Cereals,Total",16840650
Iceland,Potatoes,19459
India,Sugar cane,361036992
Indonesia,"Oil, palm fruit",126684128
Iran (Islamic Republic of),"Cereals,Total",24025659
Iraq,"Cereals,Total",7224751
Ireland,Cereals (Rice Milled Eqv),2599957
Israel,"Fruit excl Melons,Total",2232450
Italy,"Cereals,Total",23283207
Jamaica,Sugar cane,4963390
Japan,"Cereals,Total",21023600
Jordan,Vegetables Primary,1756062
Kazakhstan,"Cereals,Total",29649008
Kenya,Sugar cane,6673725
Kiribati,Coconuts,163750
Kuwait,Vegetables Primary,309335
Kyrgyzstan,"Cereals,Total",1858103
Lao People's Democratic Republic,"Cereals,Total",5414865
Latvia,Cereals (Rice Milled Eqv),2227200
Lebanon,"Fruit excl Melons,Total",1406207
Lesotho,Cereals (Rice Milled Eqv),288249
Liberia,"Roots and Tubers,Total",607124
Libya,Vegetables Primary,937579
Liechtenstein,None,0
Lithuania,Cereals (Rice Milled Eqv),5123200
Luxembourg,Cereals (Rice Milled Eqv),190722
Madagascar,"Roots and Tubers,Total",5179784
Malawi,"Roots and Tubers,Total",9350024
Malaysia,"Oil, palm fruit",96066760
Maldives,Coconuts,37446
Mali,"Cereals,Total",6980875
Malta,Vegetables Primary,89633
Marshall Islands,Coconuts,49000
Martinique,Sugar cane,1209603
Mauritania,"Cereals,Total",374222
Mauritius,Sugar cane,6581862
Mexico,Sugar cane,61182076
Micronesia (Federated States of),Coconuts,50000
Mongolia,Cereals (Rice Milled Eqv),884000
Montenegro,Potatoes,180126
Montserrat,"Fruit excl Melons,Total",1264
Morocco,"Cereals,Total",10443692
Mozambique,"Roots and Tubers,Total",11933384
Myanmar,"Cereals,Total",34570227
Namibia,"Roots and Tubers,Total",368708
Nauru,Coconuts,2723
Nepal,"Cereals,Total",9562680
Netherlands,Sugar beet,8623000
New Caledonia,Coconuts,31900
New Zealand,"Fruit excl Melons,Total",1428143
Nicaragua,Sugar cane,7041333
Niger,"Cereals,Total",5264128
Nigeria,"Roots and Tubers,Total",108069230
Niue,Coconuts,6000
Norway,Cereals (Rice Milled Eqv),1567856
Occupied Palestinian Territory,Vegetables Primary,712489
Oman,"Fruit excl Melons,Total",395842
Pacific Islands Trust Territory,Coconuts,223000
